SA3_ID,Region,Population,NumBusinesses,WeeklyIncome,UnemploymentRate
21303,Maribyrnong,87355,6574,975,8.3
10201,Gosford,173257,13273,822,6.2
20604,Melbourne City,148041,36243,970,10.9
12504,Parramatta,146708,14058,985,7.6
21204,Dandenong,197453,16294,684,9.6
40102,Adelaide Hills,72967,6689,932,4.8
90101,Christmas Island,1903,,1336,1.9
11201,Richmond Valley - Coastal,80412,8769,733,6.2
12703,Liverpool,122238,9193,817,7.5
21302,Hobsons Bay,88342,6535,979,6.3
31905,Maryborough,45530,2494,566,12.5
40103,Burnside,45464,6543,1115,5.9
10202,Wyong,162052,8649,729,7.4
12301,Camden,64212,4528,1083,4.2
20201,Bendigo,95587,6318,754,6.6
31608,Noosa Hinterland,22667,2314,733,6.9
12401,Blue Mountains,78496,5399,912,4.7
20802,Glen Eira,157014,15790,1086,5.8
21001,Keilor,61472,6469,915,5.1
31103,Browns Plains,82568,4177,799,9.2
50403,Swan,133029,9833,948,8.2
40401,Charles Sturt,111505,8175,789,7.1
51104,Mid West,55127,5068,810,8.2
20901,Banyule,127693,10318,1002,5.5
20903,Nillumbik - Kinglake,68270,6717,1109,4.3
30903,Gold Coast - North,68379,6084,765,8
31101,Beaudesert,14242,1303,662,7.8
40602,Outback - North and East,27369,1256,794,8.6
10702,,5,,,
21602,Moira,29306,3095,654,5.1
11203,Tweed Valley,93458,6953,679,7.1
21002,Macedon Ranges,30739,2855,1000,4.4
30306,Sunnybank,52380,4318,796,10
30603,Innisfail - Cassowary Coast,35601,3638,679,9.4
50604,Gosnells,122128,6993,853,9.7
11703,Sydney Inner City,230326,64779,1363,5.9
31106,Springwood - Kingston,80066,6274,753,10.7
60104,Hobart - South and West,33203,2062,866,5.1
11003,Moree - Narrabri,26452,3351,788,6
20505,Wellington,43354,3984,716,6.3
30202,Chermside,71772,5754,1020,5.8
50302,Perth City,107607,25582,1308,6.7
12302,Campbelltown (NSW),162845,8527,818,7.8
31601,Buderim,56284,5296,846,7.4
20102,Creswick - Daylesford - Ballan,28746,2920,719,5.2
60106,Sorell - Dodges Ferry,16061,972,741,6.3
30907,Ormeau - Oxenford,125111,10822,945,6.8
10804,Port Macquarie,79929,6105,677,6.8
12202,Pittwater,63504,9034,1202,3.3
12203,Warringah,157846,16770,1209,3.5
20103,Maryborough - Pyrenees,25475,2080,559,7.7
12101,Chatswood - Lane Cove,117824,16841,1475,4.8
31902,Burnett,49852,5341,583,8
50603,Canning,97172,9066,890,10.3
31901,Bundaberg,89276,6057,627,10.4
50502,Stirling,201306,19647,1011,7.3
40702,Limestone Coast,66683,7382,721,5.2
60203,North East,37679,3363,606,8.1
30403,Sherwood - Indooroopilly,53907,4265,1105,9.3
31603,Maroochy,58359,7186,803,7.1
40402,Port Adelaide - West,59256,4026,710,9.3
50402,Mundaring,43138,3328,944,7.3
50606,Serpentine - Jarrahdale,27696,1954,1043,7.1
10604,Upper Hunter,30877,2645,822,6.6
40204,Salisbury,139529,6552,699,10
10501,Bourke - Cobar - Coonamble,25059,3129,690,8.2
30805,Gladstone,63288,3884,960,11.1
31501,Far North,33772,1727,645,12.4
10602,Maitland,76134,5117,854,7.1
40701,Fleurieu - Kangaroo Island,51719,4322,622,6.1
20301,Barwon - West,19282,1988,849,3.9
30901,Broadbeach - Burleigh,64491,8715,915,5.7
11702,Marrickville - Sydenham - Petersham,57574,5934,1240,4.9
11904,Kogarah - Rockdale,145493,12477,929,6.2
31607,Nambour,43662,3755,743,7.6
80107,Tuggeranong,85968,3872,1215,4.3
10301,Bathurst,47783,3989,812,6
20803,Kingston,122522,13044,991,5
21203,Casey - South,176002,8416,845,7.1
51001,Kimberley,36392,2270,1025,8.7
31503,Outback - South,17992,3155,759,4
